FORMAT 2
KERNEL J
SOURCE (s|J|s)^(m)
SHELLS 4 6
ORDERS 6 10

# E <id> <alpha> <beta> <mu> <p>
T 4  196 4199 33  133  10
T 4  -24 2717 14  135  10
T 4  -1 51 42  137  10
T 4  -2 13 1  138  10
T 4  5 429 15  139  10
ROW -2 1 25
T 0  -105 16 35  4  6
T 1  195 16 6  13  7
T 1  -45 16 42  16  7
T 1  15 2 35  17  7
T 2  -15 11 2  35  8
T 2  35 11 5  41  8
T 2  -585 88 6  36  8
T 2  135 88 42  42  8
T 2  -5 2 35  43  8
T 3  -3 22 11  71  9
T 3  -23 286 105  82  9
T 3  4 11 2  73  9
T 3  -28 33 5  83  9
T 3  45 44 6  74  9
T 3  -135 572 42  84  9
T 3  10 33 35  85  9
T 4  21 4199 2002  126  10
T 4  -42 4199 231  141  10
T 4  3 209 11  128  10
T 4  23 2717 105  143  10
T 4  -4 187 2  130  10
T 4  28 561 5  144  10
T 4  -1 22 6  131  10
T 4  3 286 42  145  10
T 4  -5 429 35  146  10
ROW -2 2 10
T 1  15 4 30  12  7
T 2  115 88 6  32  8
T 2  -45 22 30  33  8
T 3  -37 286 66  67  9
T 3  -23 66 6  68  9
T 3  45 143 30  69  9
T 4  21 8398 10010  121  10
T 4  37 2717 66  122  10
T 4  23 1122 6  123  10
T 4  -2 143 30  124  10
ROW -2 3 21
T 0  -315 16 14  4  6
T 1  15 8 105  16  7
T 1  45 2 14  17  7
T 2  15 11 33  34  8
T 2  15 11 2  41  8
T 2  -45 44 105  42  8
T 2  -15 2 14  43  8
T 3  -27 572 858  70  9
T 3  -127 572 42  82  9
T 3  -4 11 33  72  9
T 3  -4 11 2  83  9
T 3  45 286 105  84  9
T 3  10 11 14  85  9
T 4  35 4199 1001  125  10
T 4  -7 4199 2310  141  10
T 4  27 5434 858  127  10
T 4  127 5434 42  143  10
T 4  4 187 33  129  10
T 4  4 187 2  144  10
T 4  -1 143 105  145  10
T 4  -5 143 14  146  10
ROW -2 4 21
T 0  -105 16 105  3  6
T 1  45 4 7  14  7
T 1  15 2 105  15  7
T 2  45 88 330  37  8
T 2  -115 88 6  38  8
T 2  -135 22 7  39  8
T 2  -5 2 105  40  8
T 3  -1 143 30030  75  9
T 3  -139 143 2  76  9
T 3  -3 22 330  77  9
T 3  23 66 6  78  9
T 3  135 143 7  79  9
T 3  10 33 105  80  9
T 4  14 4199 6006  132  10
T 4  -14 4199 231  133  10
T 4  2 2717 30030  134  10
T 4  278 2717 2  135  10
T 4  3 374 330  136  10
T 4  -23 1122 6  137  10
T 4  -6 143 7  138  10
T 4  -5 429 105  139  10
ROW -2 5 13
T 1  45 8 11  13  7
T 2  -15 11 33  35  8
T 2  -135 44 11  36  8
T 3  -1 52 182  81  9
T 3  -23 52 6  71  9
T 3  4 11 33  73  9
T 3  135 286 11  74  9
T 4  14 4199 4641  140  10
T 4  -7 4199 273  126  10
T 4  1 494 182  142  10
T 4  23 494 6  128  10
T 4  -4 187 33  130  10
T 4  -3 143 11  131  10
ROW -2 6 13
T 1  -15 4 66  12  7
T 2  -45 88 330  32  8
T 2  45 22 66  33  8
T 3  1 13 546  86  9
T 3  -3 26 30  67  9
T 3  3 22 330  68  9
T 3  -45 143 66  69  9
T 4  7 4199 9282  147  10
T 4  -7 8398 182  121  10
T 4  -2 247 546  148  10
T 4  3 247 30  122  10
T 4  -3 374 330  123  10
T 4  2 143 66  124  10
ROW -1 -6 9
T 2  -15 8 30  30  8
T 3  -1 13 195  63  9
T 3  -3 26 273  59  9
T 3  1 2 30  65  9
T 4  -7 8398 910  115  10
T 4  -7 4199 3094  109  10
T 4  2 247 195  117  10
T 4  3 247 273  110  10
T 4  -1 34 30  119  10
ROW -1 -5 16
T 1  45 4 11  18  7
T 2  -15 44 55  44  8
T 2  15 8 30  28  8
T 2  -135 22 11  45  8
T 3  -17 26 5  87  9
T 3  -1 52 2730  60  9
T 3  1 11 55  88  9
T 3  -1 2 30  61  9
T 3  135 143 11  89  9
T 4  -14 4199 273  151  10
T 4  -28 4199 546  111  10
T 4  17 247 5  152  10
T 4  1 494 2730  112  10
T 4  -1 187 55  153  10
T 4  1 34 30  113  10
T 4  -6 143 11  154  10
ROW -1 -4 16
T 1  45 8 1  11  7
T 2  105 44 3  29  8
T 2  15 44 55  30  8
T 2  -135 44 1  31  8
T 3  -101 572 66  62  9
T 3  1 572 1430  63  9
T 3  -7 11 3  64  9
T 3  -1 11 55  65  9
T 3  135 286 1  66  9
T 4  -7 4199 3003  114  10
T 4  -7 4199 15015  115  10
T 4  101 5434 66  116  10
T 4  -1 5434 1430  117  10
T 4  7 187 3  118  10
T 4  1 187 55  119  10
T 4  -3 143 1  120  10
ROW -1 -3 25
T 0  315 16 7  0  6
T 1  -15 8 105  5  7
T 1  15 2 15  18  7
T 1  -45 2 7  6  7
T 2  195 88 10  19  8
T 2  -105 44 3  44  8
T 2  45 44 105  20  8
T 2  -45 11 15  45  8
T 2  15 2 7  21  8
T 3  -111 572 30  46  9
T 3  43 286 33  87  9
T 3  -13 22 10  47  9
T 3  7 11 3  88  9
T 3  -45 286 105  48  9
T 3  90 143 15  89  9
T 3  -10 11 7  49  9
T 4  -28 4199 385  90  10
T 4  -14 4199 5005  151  10
T 4  111 5434 30  92  10
T 4  -43 2717 33  152  10
T 4  13 374 10  93  10
T 4  -7 187 3  153  10
T 4  1 143 105  94  10
T 4  -4 143 15  154  10
T 4  5 143 7  95  10
ROW -1 -2 25
T 0  105 4 7  1  6
T 1  -15 8 210  7  7
T 1  45 8 30  11  7
T 1  -30 1 7  8  7
T 2  265 44 1  22  8
T 2  -195 88 10  29  8
