FORMAT 1
KERNEL S
SOURCE (s|S|s)
SHELLS 5 6

# E <id> <alpha> <beta> <mu> <p>
T 4  15 4199 770  186
T 4  -3 221 66  187
T 4  3 286 110  189
T 5  -945 64 110  190
ROW -4 6 16
T 0  945 32 22  149
T 1  15 4 154  150
T 1  -105 4 22  151
T 2  135 572 385  152
T 2  -45 26 154  153
T 2  315 44 22  154
T 3  21 221 3  156
T 3  -135 2431 385  157
T 3  3 13 154  158
T 3  -105 143 22  159
T 4  -3 4199 146965  191
T 4  3 8398 26  161
T 4  -2 221 3  163
T 4  135 46189 385  164
T 4  -2 221 154  165
T 4  7 286 22  166
ROW -3 -6 18
T 0  315 32 66  65
T 1  5 2 462  66
T 1  -35 4 66  67
T 2  225 572 385  68
T 2  -15 13 462  70
T 2  105 44 66  71
T 3  21 221 14  72
T 3  21 442 1326  44
T 3  -225 2431 385  74
T 3  2 13 462  76
T 3  -35 143 66  77
T 4  3 8398 182  78
T 4  3 4199 62985  45
T 4  -2 221 14  80
T 4  -1 221 1326  46
T 4  225 46189 385  82
T 4  -4 663 462  84
T 4  7 858 66  85
ROW -3 -5 18
T 0  -315 16 33  47
T 1  5 4 231  48
T 1  35 2 33  49
T 2  30 143 2310  50
T 2  -15 26 231  51
T 2  -105 22 33  52
T 3  231 442 2  53
T 3  -21 442 221  54
T 3  -120 2431 2310  55
T 3  1 13 231  56
T 3  70 143 33  57
T 4  9 4199 39  58
T 4  9 4199 12597  59
T 4  -11 221 2  60
T 4  1 221 221  61
T 4  120 46189 2310  62
T 4  -2 663 231  63
T 4  -7 429 33  64
ROW -3 -4 27
T 0  -315 16 15  0
T 0  -2835 32 10  1
T 1  -65 8 6  2
T 1  35 2 15  3
T 1  405 8 10  4
T 2  45 44 70  5
T 2  105 572 4290  69
T 2  15 4 6  6
T 2  -105 22 15  7
T 2  -45 4 10  8
T 3  7707 9724 2  9
T 3  -609 4862 143  73
T 3  -45 187 70  10
T 3  -105 2431 4290  75
T 3  -1 2 6  11
T 3  70 143 15  12
T 3  45 44 10  13
T 4  9 4199 165  14
T 4  9 4199 14586  79
T 4  -367 4862 2  16
T 4  29 2431 143  81
T 4  45 3553 70  17
T 4  105 46189 4290  83
T 4  1 51 6  18
T 4  -7 429 15  19
T 4  -9 286 10  20
T 5  2835 64 10  21
ROW -3 -3 27
T 0  315 16 3  22
T 0  -2835 16 3  23
T 1  -125 4 3  24
T 1  -35 2 3  25
T 1  405 4 3  26
T 2  945 286 3  27
T 2  45 286 2002  88
T 2  375 26 3  28
T 2  105 22 3  29
T 2  -45 2 3  30
T 3  5565 4862 3  31
T 3  -84 2431 1430  91
T 3  -1890 2431 3  32
T 3  -90 2431 2002  93
T 3  -25 13 3  33
T 3  -70 143 3  34
T 3  45 22 3  35
T 4  165 4199 3  36
T 4  15 4199 4862  96
T 4  -265 2431 3  38
T 4  8 2431 1430  98
T 4  1890 46189 3  39
T 4  90 46189 2002  100
T 4  50 663 3  40
T 4  7 429 3  41
T 4  -9 143 3  42
T 5  2835 32 3  43
ROW -3 -2 31
T 0  -2205 32 2  0
T 0  945 16 3  1
T 1  55 4 5  2
T 1  25 4 42  193
T 1  245 4 2  3
T 1  -135 4 3  4
T 2  105 286 21  5
T 2  -45 572 77  194
T 2  -165 26 5  6
T 2  -75 26 42  195
T 2  -735 44 2  7
T 2  15 2 3  8
T 3  -1869 4862 15  9
T 3  -105 4862 858  196
T 3  -210 2431 21  10
T 3  45 2431 77  197
T 3  11 13 5  11
T 3  5 13 42  198
T 3  245 143 2  12
T 3  -15 22 3  13
T 4  -135 8398 22  14
T 4  45 4199 429  199
T 4  89 2431 15  16
T 4  5 2431 858  200
T 4  210 46189 21  17
T 4  -45 46189 77  201
T 4  -22 663 5  18
T 4  -10 663 42  202
T 4  -49 858 2  19
T 4  3 143 3  20
T 5  -945 32 3  21
ROW -3 -1 25
T 0  315 4 2  47
T 1  -5 4 14  48
T 1  55 8 42  86
T 1  -70 1 2  49
T 2  -315 286 35  50
T 2  -135 572 770  87
T 2  15 26 14  51
T 2  -165 52 42  89
T 2  210 11 2  52
T 3  1113 4862 33  53
T 3  21 9724 6006  90
T 3  630 2431 35  55
T 3  135 2431 770  92
T 3  -1 13 14  56
T 3  11 26 42  94
T 3  -280 143 2  57
T 4  27 4199 286  58
T 4  9 8398 30030  95
T 4  -53 2431 33  60
T 4  -1 4862 6006  97
T 4  -630 46189 35  62
T 4  -135 46189 770  99
T 4  2 663 14  63
T 4  -11 663 42  101
T 4  28 429 2  64
ROW -3 0 15
T 0  -315 8 7  128
T 1  -145 4 1  129
T 1  35 1 7  130
T 2  315 143 30  132
T 2  435 26 1  133
T 2  -105 11 7  134
T 3  -1029 4862 33  136
T 3  -1260 2431 30  138
T 3  -29 13 1  139
T 3  140 143 7  140
