FORMAT 2
KERNEL J
SOURCE (s|J|s)^(m)
SHELLS 6 5
ORDERS 6 11

# E <id> <alpha> <beta> <mu> <p>
T 2  75 8 30  22  8
T 2  65 8 6  24  8
T 2  35 2 42  25  8
T 3  -555 572 55  51  9
T 3  75 44 5  55  9
T 3  -225 52 30  52  9
T 3  -15 4 6  56  9
T 3  -105 22 42  57  9
T 4  21 9724 30030  96  10
T 4  -3087 9724 22  105  10
T 4  555 2431 55  98  10
T 4  -75 187 5  106  10
T 4  15 26 30  99  10
T 4  1 2 6  107  10
T 4  70 143 42  108  10
T 5  6 4199 15015  162  11
T 5  -21 4199 286  175  11
T 5  -1 4862 30030  164  11
T 5  147 4862 22  177  11
T 5  -555 46189 55  166  11
T 5  75 3553 5  178  11
T 5  -5 221 30  167  11
T 5  -1 51 6  179  11
T 5  -7 429 42  180  11
ROW -4 2 21
T 1  945 16 1  8  7
T 2  -15 1 7  26  8
T 2  -105 2 1  27  8
T 3  15 1144 10010  49  9
T 3  435 1144 70  58  9
T 3  90 13 7  59  9
T 3  315 22 1  60  9
T 4  -189 4862 286  93  10
T 4  861 4862 66  109  10
T 4  -15 4862 10010  94  10
T 4  -435 4862 70  110  10
T 4  -12 13 7  111  10
T 4  -210 143 1  112  10
T 5  6 4199 24310  158  11
T 5  18 4199 143  182  11
T 5  9 2431 286  159  11
T 5  -41 2431 66  183  11
T 5  15 92378 10010  160  11
T 5  435 92378 70  184  11
T 5  8 221 7  185  11
T 5  7 143 1  186  11
ROW -4 3 27
T 0  -2835 64 10  1  6
T 1  315 16 15  9  7
T 1  2835 32 10  10  7
T 2  65 8 6  28  8
T 2  -35 2 15  29  8
T 2  -405 8 10  30  8
T 3  105 572 4290  50  9
T 3  -45 44 70  61  9
T 3  -15 4 6  62  9
T 3  105 22 15  63  9
T 3  45 4 10  64  9
T 4  -609 4862 143  95  10
T 4  -7707 9724 2  113  10
T 4  -105 2431 4290  97  10
T 4  45 187 70  114  10
T 4  1 2 6  115  10
T 4  -70 143 15  116  10
T 4  -45 44 10  117  10
T 5  9 4199 14586  161  11
T 5  -9 4199 165  188  11
T 5  29 2431 143  163  11
T 5  367 4862 2  189  11
T 5  105 46189 4290  165  11
T 5  -45 3553 70  190  11
T 5  -1 51 6  191  11
T 5  7 429 15  192  11
T 5  9 286 10  193  11
ROW -4 4 3
T 4  -63 2431 2431  100  10
T 5  3 4199 138567  168  11
T 5  6 2431 2431  170  11
ROW -4 5 24
T 0  -945 64 2  1  6
T 1  -945 16 3  9  7
T 1  945 32 2  10  7
T 2  -75 8 30  28  8
T 2  105 2 3  29  8
T 2  -135 8 2  30  8
T 3  -525 286 14  61  9
T 3  225 52 30  62  9
T 3  -315 22 3  63  9
T 3  15 4 2  64  9
